# Model: Local min.
# Energy-squared per-flavour neutrino fluxes, assuming neutrino equipartition
# Energy in [GeV], FluxE2 in [GeV cm^-2 sr^-1 s^-1]
Energy,FluxE2
9.977e+07,5.576e-10
1.014e+08,5.695e-10
1.030e+08,5.816e-10
1.047e+08,5.939e-10
1.064e+08,6.064e-10
1.082e+08,6.191e-10
1.099e+08,6.319e-10
1.117e+08,6.450e-10
1.135e+08,6.583e-10
1.154e+08,6.718e-10
1.172e+08,6.854e-10
1.191e+08,6.992e-10
1.211e+08,7.132e-10
1.231e+08,7.274e-10
1.251e+08,7.417e-10
1.271e+08,7.562e-10
1.292e+08,7.709e-10
1.313e+08,7.857e-10
1.334e+08,8.006e-10
1.356e+08,8.157e-10
1.378e+08,8.310e-10
1.400e+08,8.463e-10
1.423e+08,8.618e-10
1.446e+08,8.775e-10
1.469e+08,8.932e-10
1.493e+08,9.090e-10
1.518e+08,9.249e-10
1.542e+08,9.409e-10
1.567e+08,9.569e-10
1.593e+08,9.730e-10
1.619e+08,9.891e-10
1.645e+08,1.005e-09
1.672e+08,1.021e-09
1.699e+08,1.038e-09
1.727e+08,1.054e-09
1.755e+08,1.070e-09
1.783e+08,1.086e-09
1.812e+08,1.102e-09
1.842e+08,1.118e-09
1.872e+08,1.134e-09
1.902e+08,1.150e-09
1.933e+08,1.166e-09
1.965e+08,1.181e-09
1.997e+08,1.197e-09
2.029e+08,1.213e-09
2.062e+08,1.228e-09
2.096e+08,1.243e-09
2.130e+08,1.258e-09
2.164e+08,1.273e-09
2.200e+08,1.288e-09
2.235e+08,1.303e-09
2.272e+08,1.318e-09
2.309e+08,1.332e-09
2.346e+08,1.346e-09
2.384e+08,1.361e-09
2.423e+08,1.374e-09
2.463e+08,1.388e-09
2.503e+08,1.402e-09
2.543e+08,1.415e-09
2.585e+08,1.428e-09
2.627e+08,1.441e-09
2.669e+08,1.454e-09
2.713e+08,1.466e-09
2.757e+08,1.478e-09
2.802e+08,1.490e-09
2.847e+08,1.502e-09
2.894e+08,1.514e-09
2.941e+08,1.525e-09
2.989e+08,1.536e-09
3.037e+08,1.547e-09
3.087e+08,1.557e-09
3.137e+08,1.567e-09
3.188e+08,1.577e-09
3.240e+08,1.586e-09
3.292e+08,1.596e-09
3.346e+08,1.605e-09
3.400e+08,1.613e-09
3.456e+08,1.622e-09
3.512e+08,1.629e-09
3.569e+08,1.637e-09
3.627e+08,1.644e-09
3.686e+08,1.651e-09
3.746e+08,1.658e-09
3.807e+08,1.664e-09
3.869e+08,1.670e-09
3.932e+08,1.675e-09
3.996e+08,1.680e-09
4.061e+08,1.685e-09
4.127e+08,1.689e-09
4.194e+08,1.693e-09
4.262e+08,1.697e-09
4.331e+08,1.700e-09
4.402e+08,1.703e-09
4.474e+08,1.705e-09
4.546e+08,1.707e-09
4.620e+08,1.708e-09
4.695e+08,1.709e-09
4.772e+08,1.709e-09
4.849e+08,1.710e-09
4.928e+08,1.709e-09
5.008e+08,1.708e-09
5.090e+08,1.707e-09
5.173e+08,1.705e-09
5.257e+08,1.703e-09
5.342e+08,1.700e-09
5.429e+08,1.697e-09
5.517e+08,1.694e-09
5.607e+08,1.690e-09
5.698e+08,1.685e-09
5.791e+08,1.680e-09
5.885e+08,1.675e-09
5.981e+08,1.669e-09
6.078e+08,1.663e-09
6.177e+08,1.657e-09
6.278e+08,1.650e-09
6.380e+08,1.642e-09
6.484e+08,1.634e-09
6.589e+08,1.626e-09
6.696e+08,1.618e-09
6.805e+08,1.609e-09
6.916e+08,1.599e-09
7.028e+08,1.590e-09
7.143e+08,1.580e-09
7.259e+08,1.569e-09
7.377e+08,1.558e-09
7.497e+08,1.547e-09
7.619e+08,1.535e-09
7.743e+08,1.524e-09
7.869e+08,1.511e-09
7.997e+08,1.499e-09
8.127e+08,1.485e-09
8.259e+08,1.472e-09
8.393e+08,1.458e-09
8.530e+08,1.444e-09
8.668e+08,1.430e-09
8.809e+08,1.415e-09
8.953e+08,1.400e-09
9.098e+08,1.384e-09
9.246e+08,1.368e-09
9.397e+08,1.352e-09
9.549e+08,1.336e-09
9.705e+08,1.319e-09
9.863e+08,1.302e-09
1.002e+09,1.284e-09
1.019e+09,1.267e-09
1.035e+09,1.249e-09
1.052e+09,1.231e-09
1.069e+09,1.212e-09
1.087e+09,1.194e-09
1.104e+09,1.176e-09
1.122e+09,1.157e-09
1.140e+09,1.138e-09
1.159e+09,1.120e-09
1.178e+09,1.101e-09
1.197e+09,1.082e-09
1.216e+09,1.064e-09
1.236e+09,1.045e-09
1.256e+09,1.026e-09
1.277e+09,1.008e-09
1.298e+09,9.897e-10
1.319e+09,9.716e-10
1.340e+09,9.536e-10
1.362e+09,9.358e-10
1.384e+09,9.182e-10
1.407e+09,9.007e-10
1.429e+09,8.834e-10
1.453e+09,8.663e-10
1.476e+09,8.493e-10
1.500e+09,8.325e-10
1.525e+09,8.159e-10
1.549e+09,7.994e-10
1.575e+09,7.831e-10
1.600e+09,7.670e-10
1.626e+09,7.511e-10
1.653e+09,7.353e-10
1.680e+09,7.197e-10
1.707e+09,7.042e-10
1.735e+09,6.889e-10
1.763e+09,6.738e-10
1.792e+09,6.589e-10
1.821e+09,6.441e-10
1.850e+09,6.296e-10
1.881e+09,6.152e-10
1.911e+09,6.010e-10
1.942e+09,5.869e-10
1.974e+09,5.731e-10
2.006e+09,5.595e-10
2.038e+09,5.461e-10
2.072e+09,5.329e-10
2.105e+09,5.199e-10
2.140e+09,5.072e-10
2.174e+09,4.946e-10
2.210e+09,4.824e-10
2.246e+09,4.703e-10
2.282e+09,4.585e-10
2.319e+09,4.469e-10
2.357e+09,4.356e-10
2.395e+09,4.246e-10
2.434e+09,4.138e-10
2.474e+09,4.032e-10
2.514e+09,3.930e-10
2.555e+09,3.830e-10
2.597e+09,3.732e-10
2.639e+09,3.637e-10
2.682e+09,3.545e-10
2.725e+09,3.454e-10
2.770e+09,3.366e-10
2.815e+09,3.280e-10
2.861e+09,3.195e-10
2.907e+09,3.113e-10
2.954e+09,3.032e-10
3.002e+09,2.953e-10
3.051e+09,2.876e-10
3.101e+09,2.800e-10
3.151e+09,2.725e-10
3.203e+09,2.652e-10
3.255e+09,2.580e-10
3.308e+09,2.509e-10
3.361e+09,2.439e-10
3.416e+09,2.370e-10
3.472e+09,2.302e-10
3.528e+09,2.234e-10
3.586e+09,2.168e-10
3.644e+09,2.103e-10
3.703e+09,2.038e-10
3.763e+09,1.975e-10
3.825e+09,1.913e-10
3.887e+09,1.852e-10
3.950e+09,1.792e-10
4.014e+09,1.733e-10
4.080e+09,1.675e-10
4.146e+09,1.619e-10
4.213e+09,1.564e-10
4.282e+09,1.511e-10
4.351e+09,1.458e-10
4.422e+09,1.408e-10
4.494e+09,1.358e-10
4.567e+09,1.310e-10
4.642e+09,1.264e-10
4.717e+09,1.219e-10
4.794e+09,1.176e-10
4.872e+09,1.134e-10
4.951e+09,1.094e-10
5.032e+09,1.055e-10
5.113e+09,1.018e-10
5.197e+09,9.820e-11
5.281e+09,9.473e-11
5.367e+09,9.137e-11
5.454e+09,8.814e-11
5.543e+09,8.501e-11
5.633e+09,8.200e-11
5.725e+09,7.909e-11
5.818e+09,7.628e-11
5.913e+09,7.356e-11
6.009e+09,7.093e-11
6.106e+09,6.839e-11
6.206e+09,6.592e-11
6.307e+09,6.353e-11
6.409e+09,6.121e-11
6.513e+09,5.895e-11
6.619e+09,5.676e-11
6.727e+09,5.462e-11
6.837e+09,5.255e-11
6.948e+09,5.053e-11
7.061e+09,4.857e-11
7.176e+09,4.666e-11
7.292e+09,4.482e-11
7.411e+09,4.302e-11
7.531e+09,4.128e-11
7.654e+09,3.958e-11
7.778e+09,3.794e-11
7.905e+09,3.635e-11
8.034e+09,3.480e-11
8.164e+09,3.330e-11
8.297e+09,3.185e-11
8.432e+09,3.044e-11
8.569e+09,2.907e-11
8.708e+09,2.775e-11
